pred_date,itemkind,price_pred,itemnm,kindnm
2021-09-30,수박-수박(1개),15113.719783869923,수박,수박(1개)
2021-10-01,수박-수박(1개),15117.713554639517,수박,수박(1개)
2021-10-02,수박-수박(1개),15117.005040709837,수박,수박(1개)
2021-10-03,수박-수박(1개),14723.34316852024,수박,수박(1개)
2021-10-04,수박-수박(1개),14829.3523714701,수박,수박(1개)
2021-10-05,수박-수박(1개),14731.023661236222,수박,수박(1개)
2021-10-06,수박-수박(1개),14550.377696069625,수박,수박(1개)
2021-10-07,수박-수박(1개),14434.229077776507,수박,수박(1개)
2021-10-08,수박-수박(1개),14422.710315946137,수박,수박(1개)
2021-10-09,수박-수박(1개),14406.176607968951,수박,수박(1개)
2021-10-10,수박-수박(1개),13996.771143554373,수박,수박(1개)
2021-10-11,수박-수박(1개),14087.626371926232,수박,수박(1개)
2021-10-12,수박-수박(1개),13975.120883747508,수박,수박(1개)
2021-10-13,수박-수박(1개),13781.728613879906,수박,수박(1개)
2021-10-14,수박-수박(1개),13654.713408436824,수박,수박(1개)
2021-09-17,참외-참외(1kg),2978.461757067896,참외,참외(1kg)
2021-09-18,참외-참외(1kg),2897.4083383438583,참외,참외(1kg)
2021-09-19,참외-참외(1kg),2342.213728916311,참외,참외(1kg)
2021-09-20,참외-참외(1kg),2925.6781772743475,참외,참외(1kg)
2021-09-21,참외-참외(1kg),2914.4944577175897,참외,참외(1kg)
2021-09-22,참외-참외(1kg),2863.8790601509418,참외,참외(1kg)
2021-09-23,참외-참외(1kg),2846.2805442221315,참외,참외(1kg)
2021-09-24,참외-참외(1kg),2849.685622846865,참외,참외(1kg)
2021-09-25,참외-참외(1kg),2771.8011779230137,참외,참외(1kg)
2021-09-26,참외-참외(1kg),2218.623009341949,참외,참외(1kg)
2021-09-27,참외-참외(1kg),2803.962094976649,참외,참외(1kg)
2021-09-28,참외-참외(1kg),2793.578557758141,참외,참외(1kg)
2021-09-29,참외-참외(1kg),2743.104066591423,참외,참외(1kg)
2021-09-30,참외-참외(1kg),2725.125009288576,참외,참외(1kg)
2021-10-01,참외-참외(1kg),2727.717428804029,참외,참외(1kg)
2021-10-02,참외-참외(1kg),2648.621870665028,참외,참외(1kg)
2021-10-03,참외-참외(1kg),2093.691102067022,참외,참외(1kg)
2021-10-04,참외-참외(1kg),2677.7577648808997,참외,참외(1kg)
2021-10-05,참외-참외(1kg),2665.635683934828,참외,참외(1kg)
2021-10-06,참외-참외(1kg),2613.336539147815,참외,참외(1kg)
2021-10-07,참외-참외(1kg),2593.5316916640927,참외,참외(1kg)
2021-10-08,참외-참외(1kg),2594.3204168846364,참외,참외(1kg)
2021-10-09,참외-참외(1kg),2513.4024507854274,참외,참외(1kg)
2021-10-10,참외-참외(1kg),1956.4097671863951,참외,참외(1kg)
2021-10-11,참외-참외(1kg),2539.120722283555,참외,참외(1kg)
2021-10-12,참외-참외(1kg),2525.3336020450215,참외,참외(1kg)
2021-10-13,참외-참외(1kg),2471.3820585804942,참외,참외(1kg)
2021-10-14,참외-참외(1kg),2449.979487816321,참외,참외(1kg)
2021-09-17,토마토-토마토(1kg),3936.5772621166807,토마토,토마토(1kg)
2021-09-18,토마토-토마토(1kg),3974.2760661963453,토마토,토마토(1kg)
2021-09-19,토마토-토마토(1kg),3161.047744514745,토마토,토마토(1kg)
2021-09-20,토마토-토마토(1kg),3970.0293811957345,토마토,토마토(1kg)
2021-09-21,토마토-토마토(1kg),3969.595472796546,토마토,토마토(1kg)
2021-09-22,토마토-토마토(1kg),3995.9999847863055,토마토,토마토(1kg)
2021-09-23,토마토-토마토(1kg),4030.068818347691,토마토,토마토(1kg)
2021-09-24,토마토-토마토(1kg),4080.67832253517,토마토,토마토(1kg)
2021-09-25,토마토-토마토(1kg),4118.835463390394,토마토,토마토(1kg)
2021-09-26,토마토-토마토(1kg),3305.3783565411363,토마토,토마토(1kg)
2021-09-27,토마토-토마토(1kg),4115.274083073397,토마토,토마토(1kg)
2021-09-28,토마토-토마토(1kg),4114.5226281798305,토마토,토마토(1kg)
2021-09-29,토마토-토마토(1kg),4139.815099002619,토마토,토마토(1kg)
2021-09-30,토마토-토마토(1kg),4171.698588810687,토마토,토마토(1kg)
2021-10-01,토마토-토마토(1kg),4218.8197716659815,토마토,토마토(1kg)
2021-10-02,토마토-토마토(1kg),4251.9554165500285,토마토,토마토(1kg)
2021-10-03,토마토-토마토(1kg),3431.057249316389,토마토,토마토(1kg)
2021-10-04,토마토-토마토(1kg),4233.088168689632,토마토,토마토(1kg)
2021-10-05,토마토-토마토(1kg),4221.884881411199,토마토,토마토(1kg)
2021-10-06,토마토-토마토(1kg),4234.826525523902,토마토,토마토(1kg)
2021-10-07,토마토-토마토(1kg),4252.465141777158,토마토,토마토(1kg)
2021-10-08,토마토-토마토(1kg),4283.526714713014,토마토,토마토(1kg)
2021-10-09,토마토-토마토(1kg),4298.883760546336,토마토,토마토(1kg)
2021-10-10,토마토-토마토(1kg),3457.935838888096,토마토,토마토(1kg)
2021-10-11,토마토-토마토(1kg),4239.975317834857,토마토,토마토(1kg)
2021-10-12,토마토-토마토(1kg),4206.999923553428,토마토,토마토(1kg)
2021-10-13,토마토-토마토(1kg),4197.383292978866,토마토,토마토(1kg)
2021-10-14,토마토-토마토(1kg),4191.963109792849,토마토,토마토(1kg)
2021-09-17,딸기-딸기(1kg),8204.815823157629,딸기,딸기(1kg)
2021-09-18,딸기-딸기(1kg),7543.2278743647485,딸기,딸기(1kg)
2021-09-19,딸기-딸기(1kg),7156.548651416945,딸기,딸기(1kg)
2021-09-20,딸기-딸기(1kg),6207.795889035486,딸기,딸기(1kg)
2021-09-21,딸기-딸기(1kg),5572.879470089888,딸기,딸기(1kg)
2021-09-22,딸기-딸기(1kg),5192.462498437674,딸기,딸기(1kg)
2021-09-23,딸기-딸기(1kg),5061.569317234923,딸기,딸기(1kg)
2021-09-24,딸기-딸기(1kg),5039.136286875309,딸기,딸기(1kg)
2021-09-25,딸기-딸기(1kg),5152.966131265755,딸기,딸기(1kg)
2021-09-26,딸기-딸기(1kg),5609.380838010651,딸기,딸기(1kg)
2021-09-27,딸기-딸기(1kg),5554.095496019502,딸기,딸기(1kg)
2021-09-28,딸기-딸기(1kg),5846.120740195446,딸기,딸기(1kg)
2021-09-29,딸기-딸기(1kg),6407.7559768140245,딸기,딸기(1kg)
2021-09-30,딸기-딸기(1kg),7215.45111568029,딸기,딸기(1kg)
2021-10-01,딸기-딸기(1kg),8109.606312509918,딸기,딸기(1kg)
2021-10-02,딸기-딸기(1kg),9100.192122462326,딸기,딸기(1kg)
2021-10-03,딸기-딸기(1kg),10376.80011047783,딸기,딸기(1kg)
2021-10-04,딸기-딸기(1kg),11068.8235260166,딸기,딸기(1kg)
2021-10-05,딸기-딸기(1kg),12022.059041220693,딸기,딸기(1kg)
2021-10-06,딸기-딸기(1kg),13146.727947828474,딸기,딸기(1kg)
2021-10-07,딸기-딸기(1kg),14409.426729304168,딸기,딸기(1kg)
2021-10-08,딸기-딸기(1kg),15642.954631110139,딸기,딸기(1kg)
2021-10-09,딸기-딸기(1kg),16852.32802263521,딸기,딸기(1kg)
2021-10-10,딸기-딸기(1kg),18224.913671847302,딸기,딸기(1kg)
2021-10-11,딸기-딸기(1kg),18889.565808828167,딸기,딸기(1kg)
2021-10-12,딸기-딸기(1kg),19695.5501686787,딸기,딸기(1kg)
2021-10-13,딸기-딸기(1kg),20558.199079701622,딸기,딸기(1kg)
2021-10-14,딸기-딸기(1kg),21451.54949421953,딸기,딸기(1kg)
2021-09-17,당근-무세척(1kg),2523.401419959971,당근,무세척(1kg)
2021-09-18,당근-무세척(1kg),2542.602135947766,당근,무세척(1kg)
2021-09-19,당근-무세척(1kg),2110.648567823374,당근,무세척(1kg)
2021-09-20,당근-무세척(1kg),2567.8273271501594,당근,무세척(1kg)
2021-09-21,당근-무세척(1kg),2574.5919325296604,당근,무세척(1kg)
2021-09-22,당근-무세척(1kg),2591.818049592001,당근,무세척(1kg)
2021-09-23,당근-무세척(1kg),2613.5088797636868,당근,무세척(1kg)
2021-09-24,당근-무세척(1kg),2605.322256217055,당근,무세척(1kg)
2021-09-25,당근-무세척(1kg),2621.319822913865,당근,무세척(1kg)
2021-09-26,당근-무세척(1kg),2186.1304552550164,당근,무세척(1kg)
2021-09-27,당근-무세척(1kg),2639.9809779730103,당근,무세척(1kg)
2021-09-28,당근-무세척(1kg),2643.3089098223522,당근,무세척(1kg)
2021-09-29,당근-무세척(1kg),2656.9391086734927,당근,무세척(1kg)
2021-09-30,당근-무세척(1kg),2674.831473059211,당근,무세척(1kg)
2021-10-01,당근-무세척(1kg),2662.6019966146146,당근,무세척(1kg)
2021-10-02,당근-무세척(1kg),2674.271685617318,당근,무세척(1kg)
2021-10-03,당근-무세척(1kg),2234.442828473766,당근,무세척(1kg)
2021-10-04,당근-무세척(1kg),2683.2894314423975,당근,무세척(1kg)
2021-10-05,당근-무세척(1kg),2681.251967788845,당근,무세척(1kg)
2021-10-06,당근-무세척(1kg),2689.1351622953794,당근,무세척(1kg)
2021-10-07,당근-무세척(1kg),2700.8973542367225,당근,무세척(1kg)
2021-10-08,당근-무세척(1kg),2682.1644868831904,당근,무세척(1kg)
2021-10-09,당근-무세척(1kg),2686.977393419713,당근,무세척(1kg)
2021-10-10,당근-무세척(1kg),2239.979234803696,당근,무세척(1kg)
2021-10-11,당근-무세척(1kg),2681.3637089013314,당근,무세척(1kg)
2021-10-12,당근-무세척(1kg),2671.64965105425,당근,무세척(1kg)
2021-10-13,당근-무세척(1kg),2671.6976587311965,당근,무세척(1kg)
2021-10-14,당근-무세척(1kg),2675.538738379454,당근,무세척(1kg)
2021-09-17,열무-열무(1kg),2793.4618164503836,열무,열무(1kg)
2021-09-18,열무-열무(1kg),1985.5511479774225,열무,열무(1kg)
2021-09-19,열무-열무(1kg),1933.9896425434533,열무,열무(1kg)
2021-09-20,열무-열무(1kg),2688.9385768299176,열무,열무(1kg)
2021-09-21,열무-열무(1kg),2597.221050683069,열무,열무(1kg)
2021-09-22,열무-열무(1kg),2516.548532214986,열무,열무(1kg)
2021-09-23,열무-열무(1kg),2440.7550741491264,열무,열무(1kg)
2021-09-24,열무-열무(1kg),2412.885570612672,열무,열무(1kg)
2021-09-25,열무-열무(1kg),1596.5618476005716,열무,열무(1kg)
2021-09-26,열무-열무(1kg),1542.510376701859,열무,열무(1kg)
2021-09-27,열무-열무(1kg),2300.9779500567597,열무,열무(1kg)
2021-09-28,열무-열무(1kg),2216.7031482427624,열무,열무(1kg)
2021-09-29,열무-열무(1kg),2148.216820674504,열무,열무(1kg)
2021-09-30,열무-열무(1kg),2089.0222210011493,열무,열무(1kg)
2021-10-01,열무-열무(1kg),2081.791588094962,열무,열무(1kg)
2021-10-02,열무-열무(1kg),1288.6280894143467,열무,열무(1kg)
2021-10-03,열무-열무(1kg),1261.5349346785472,열무,열무(1kg)
2021-10-04,열무-열무(1kg),2050.1732009172947,열무,열무(1kg)
2021-10-05,열무-열무(1kg),1996.6061603430576,열무,열무(1kg)
2021-10-06,열무-열무(1kg),1959.6885878287167,열무,열무(1kg)
2021-10-07,열무-열무(1kg),1932.2049569439841,열무,열무(1kg)
2021-10-08,열무-열무(1kg),1956.1834234641187,열무,열무(1kg)
2021-10-09,열무-열무(1kg),1192.0594115220597,열무,열무(1kg)
2021-10-10,열무-열무(1kg),1193.0884979909886,열무,열무(1kg)
2021-10-11,열무-열무(1kg),2008.4453048381656,열무,열무(1kg)
2021-10-12,열무-열무(1kg),1977.7362145819202,열무,열무(1kg)
2021-10-13,열무-열무(1kg),1960.4698007453942,열무,열무(1kg)
2021-10-14,열무-열무(1kg),1949.1423972757907,열무,열무(1kg)
2021-09-17,건고추-화건(1kg),27687.850920418252,건고추,화건(1kg)
2021-09-18,건고추-화건(1kg),27730.16473569839,건고추,화건(1kg)
